name,token,protocol_tvl,pool_tvl,network,address
"Gearbox DAI v3","DAI","9959999","9959999","mainnet","0xe7146F53dBcae9D6Fa3555FE502648deb0B2F823"
"Spark USDT","USDT","673690","673690","mainnet","0xe7dF13b8e3d6740fe17CBE928C7334243d86c92f"
"Overnight USD+","USDC","2761343","2761343","arbitrum","0xe80772Eaf6e2E18B651F160Bc9158b2A5caFCA65"
"Euler Prime weETH","weETH","6088650","6088650","mainnet","0xe846ca062aB869b66aE8DcD811973f628BA82eAf"
"StrategyGearboxLenderWETH","WETH","342354","342354","mainnet","0xe92ade9eE76681f96C8BB0b352d5410ca5b35D70"
"ether.fi Liquid ETH Yield","WETH","99373031","99373031","mainnet","0xeA1A6307D9b18F8d1cbf1c3Dd6aad8416C06a221"
"Aave v3 GHO","GHO","3156833","3156833","arbitrum","0xeBe517846d0F36eCEd99C735cbF6131e1fEB775D"
"Hop USDT","USDT","118713","118713","optimism","0xeC4B41Af04cF917b54AEb6Df58c0f8D78895b5Ef"
"Gauntlet USDC Prime","USDC","2279690","2279690","base","0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61"
"Re7 wM","wM","445141","445141","mainnet","0xea0C048c728578b1510EBDF9b692E8936D6Fbc90"
"DAI+","DAI","8953","8953","arbitrum","0xeb8E93A0c7504Bffd8A8fFa56CD754c63aAeBFe8"
"yPT-wstETH (auto-rolling Pendle PT)","wstETH","1773","1773","mainnet","0xebF3581407ae0Ceb07B8149b4C3AC995a72cb589"
"Pooltogether Prize WETH - Aave","WETH","42614","42614","optimism","0xf0B19f02c63d51B69563A2b675e0160e1C34397C"
"Convex Curve Lending CRV/crvUSD","crvUSD","605125","605125","mainnet","0xf0ac58AF1ca98aFce29fAe456E853688ab9d41E2"
"Moonwell Flagship EURC","EURC","9836934","9836934","base","0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026"
"EVK Vault eUSDC-16","USDC","460070","460070","mainnet","0xf2f826c190D020A6D1EC422bF2269E63b8b315E0"
"Fluid USD Coin","USDC","16163230","16163230","base","0xf42f5795D9ac7e9D757dB633D693cD548Cfd9169"
"AaveV3 DAI Lender","DAI","462214","462214","polygon","0xf4F9d5697341B4C9B0Cc8151413e05A90f7dc24F"
"Compound v2 USDT","USDT","122871614","122871614","mainnet","0xf650C3d88D12dB855b8bf7D11Be6C55A4e07dCC9"
"StrategyGearboxLenderUSDC","USDC","13192","13192","mainnet","0xf6E2d36c489e5B361CdC962D4568ceA663AD5ddC"
"Sturdy TBTC/EBTC silo","tBTC","2456391","2456391","mainnet","0xf94B349d52c542aBd8Fb612c2854974e1D72223B"
"Swell swETH","ETH","248408262","248408262","mainnet","0xf951E335afb289353dc249e82926178EaC7DEd78"
"Aave v3 Lido Market WETH","WETH","611525691","611525691","mainnet","0xfA1fDbBD71B0aA16162D76914d69cD8CB3Ef92da"
"Seamless wstETH","wstETH","1560623","1560623","base","0xfA48A40DAD139e9B1aF8dc82F37Da58cC3cA2867"
"EVK Vault eSKY-1","SKY","1010","1010","mainnet","0xfC67343ac17B158deb69de67Ba8A2eD7C47F0C74"
"Prime Wrapped Liquid Staked Ether","wstETH","2017","2017","mainnet","0xfbAdc4f18dDC7EBdBc920d3f9b0Ca7A1296788d1"
"MEV Capital M^0 Vault","wM","5999","5999","mainnet","0xfbDEE8670b273E12b019210426E70091464b02Ab"
